goal_coverage,requirement,scenario_id,scenario_seed,available_node_count,static_upper_bound,static_visible_target_count,required_target_count,required_targets_available,sentinel_target_count,sentinels_available,structurally_feasible,status,success,coverage,unweighted_inspectable_coverage,whole_surface_coverage,required_targets_covered,required_targets_covered_count,sentinels_covered,sentinels_covered_count,selected_count,graph_cost,total_delta_v,min_clearance,peak_input,online_time_s,safe_action_evaluations,shield_rejections,route_node_ids
0.95,six_spatial_sentinels,test_010,20748,23,0.9787782508856026,40,6,True,6,True,True,success,True,0.9575565017712051,0.9512195121951219,0.43333333333333335,True,6,True,6,13,131.88103580636616,15.988133455342469,1.149157587355644,0.043531041305857686,0.6459141550003551,166032,85526,cand_0005;cand_0000;cand_0013;cand_0070;cand_0068;cand_0009;cand_0021;cand_0016;cand_0066;cand_0052;cand_0051;cand_0063;cand_0062
0.95,coverage_only,test_011,20749,24,1.0,41,0,True,6,True,True,success,True,0.95950402931191,0.9512195121951219,0.43333333333333335,True,0,True,6,14,141.03839795986363,17.098232829290172,0.3126404740316717,0.05278198759371104,0.908117051993031,237084,115773,cand_0005;cand_0000;cand_0013;cand_0070;cand_0009;cand_0066;cand_0052;cand_0055;cand_0051;cand_0062;cand_0063;cand_0068;cand_0021;cand_0015
0.95,six_spatial_sentinels,test_011,20749,24,1.0,41,6,True,6,True,True,success,True,0.95950402931191,0.9512195121951219,0.43333333333333335,True,6,True,6,14,141.03839795986363,17.098232829290172,0.3126404740316717,0.05278198759371104,0.9216845719784033,237084,115773,cand_0005;cand_0000;cand_0013;cand_0070;cand_0009;cand_0066;cand_0052;cand_0055;cand_0051;cand_0062;cand_0063;cand_0068;cand_0021;cand_0015
0.95,coverage_only,test_012,20750,22,0.9594550646785444,39,0,True,6,True,True,no_viable_completion,False,0.0,0.0,0.0,True,0,False,0,0,0.0,0,nan,nan,0.21634333999827504,61001,36419,
0.95,six_spatial_sentinels,test_012,20750,22,0.9594550646785444,39,6,True,6,True,True,no_viable_completion,False,0.0,0.0,0.0,False,0,False,0,0,0.0,0,nan,nan,0.21910009201383218,61001,36419,
0.95,coverage_only,test_013,20753,22,0.9281129962015537,39,0,True,6,True,False,structurally_infeasible,False,nan,nan,nan,False,0,False,0,0,nan,nan,nan,nan,0.0,0,0,
0.95,six_spatial_sentinels,test_013,20753,22,0.9281129962015537,39,6,True,6,True,False,structurally_infeasible,False,nan,nan,nan,False,0,False,0,0,nan,nan,nan,nan,0.0,0,0,
0.95,coverage_only,test_014,20754,20,0.9614328302412047,39,0,True,6,True,True,success,True,0.9614328302412047,0.9512195121951219,0.43333333333333335,True,0,True,6,13,170.04210543884955,20.63898303484342,1.5066734054077913,0.055184359871914224,0.41223913998692296,110171,66898,cand_0052;cand_0055;cand_0045;cand_0062;cand_0066;cand_0009;cand_0025;cand_0021;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
0.95,six_spatial_sentinels,test_014,20754,20,0.9614328302412047,39,6,True,6,True,True,success,True,0.9614328302412047,0.9512195121951219,0.43333333333333335,True,6,True,6,13,170.04210543884955,20.63898303484342,1.5066734054077913,0.055184359871914224,0.40733692099456675,110171,66898,cand_0052;cand_0055;cand_0045;cand_0062;cand_0066;cand_0009;cand_0025;cand_0021;cand_0068;cand_0070;cand_0013;cand_0000;cand_0005
0.95,coverage_only,test_015,20757,23,0.9809891460609523,40,0,True,6,True,True,success,True,0.9619782921219046,0.9512195121951219,0.43333333333333335,True,0,True,6,12,158.72349549595478,19.264674832636583,0.21960672263981085,0.0585962290483111,0.676952233974589,171940,84118,cand_0070;cand_0013;cand_0000;cand_0005;cand_0066;cand_0052;cand_0055;cand_0062;cand_0045;cand_0068;cand_0021;cand_0016
